Gene name,Gene end (bp),Gene start (bp),Chromosome/scaffold name
MBD3L3,7058640,7056209,19
ZNF557,7087968,7069444,19
INSR,7294034,7112255,19
AC119396.1,7383385,7348943,19
AC008878.3,7472477,7382834,19
AC119396.2,7395039,7390522,19
ARHGEF18,7472477,7395113,19
PEX11G,7497449,7476875,19
TEX45,7508450,7492976,19
AC008878.1,7519622,7507052,19
ZNF358,7521026,7515292,19
AC008878.4,7520460,7519916,19
MCOLN1,7534009,7522626,19
AC008878.2,7540059,7533595,19
PNPLA6,7561764,7534004,19
CAMSAP3,7618304,7595902,19
MIR6792,7617505,7617439,19
XAB2,7629565,7619525,19
PET100,7631956,7629737,19
AC008763.2,7643048,7629796,19
PCP2,7633748,7631611,19
AC008763.1,7636990,7633766,19
STXBP2,7647873,7636881,19
RPS27AP19,7666476,7665717,19
RETN,7670454,7669044,19
MCEMP1,7679826,7676628,19
AC008763.3,7682854,7678501,19
TRAPPC5,7687703,7680843,19
FCER2,7702146,7688758,19
CLEC4G,7733906,7728957,19
CD209,7747564,7739994,19
RPL21P129,7751161,7750684,19
CLEC4M,7769605,7763149,19
CLEC4GP1,7790621,7787549,19
EXOSC3P2,7814425,7813615,19
EVI5L,7864976,7830233,19
PRR36,7874379,7868719,19
AC010336.3,7871296,7870561,19
LYPLA2P2,7880120,7879445,19
RNA5SP463,7887096,7886977,19
AC010336.7,7887096,7886977,19
LRRC8E,7902021,7888505,19
AC010336.1,7903542,7898804,19
MAP2K7,7914478,7903843,19
AC010336.4,7913518,7912648,19
TGFBR3L,7919097,7916145,19
AC010336.2,7919157,7918652,19
SNAPC2,7923250,7920316,19
CTXN1,7926166,7924485,19
AC010336.5,7926810,7926001,19
TIMM44,7943920,7926718,19
ELAVL1,8005659,7958579,19
AC010336.6,7960012,7959123,19
AC008946.1,8016025,8008729,19
CCL25,8062650,8052767,19
FBN3,8149846,8065402,19
AC022146.1,8175567,8173272,19
CERS4,8262421,8206736,19
AC022146.2,8239648,8222153,19
CD320,8308356,8302127,19
AC010323.1,8321379,8308283,19
NDUFA7,8321396,8308768,19
RPS28,8323340,8321158,19
KANK3,8343262,8322584,19
AC010323.2,8347687,8346517,19
ANGPTL4,8374373,8363289,19
RAB11B-AS1,8390685,8374373,19
MIR4999,8389380,8389290,19
RAB11B,8404434,8389981,19
MARCH2,8439017,8413270,19
AC136469.1,8427827,8423355,19
AC136469.2,8445597,8444570,19
HNRNPM,8489114,8444767,19
PRAM1,8503112,8490056,19
ZNF414,8514164,8509678,19
MYO1F,8577577,8520790,19
AC092316.1,8550139,8549506,19
ADAMTS10,8610735,8580242,19
AC130469.1,8582715,8581160,19
LINC01862,8638649,8630671,19
AC243312.1,8677584,8676844,19
AC243312.2,8696321,8695721,19
ACTL9,8698822,8697397,19
OR2Z1,8732160,8721634,19
RPL23AP78,8729204,8728735,19
AC012616.1,8778861,8778665,19
ZNF558,8832328,8806170,19
AC008734.1,8824110,8821501,19
MBD3L1,8843340,8832398,19
AC008734.2,8833541,8833065,19
MUC16,8981342,8848844,19
BOLA3P2,9019984,9019344,19
OR1M4P,9083398,9083112,19
OR1M1,9095669,9087061,19
OR7G2,9107475,9100407,19
OR7G1,9115763,9114828,19
OR7G15P,9122492,9122160,19
OR7G3,9126950,9126012,19
ZNF317,9163424,9140380,19
OR7D2,9188817,9178979,19
ELOCP29,9183048,9182369,19
OR7E16P,9192170,9191286,19
OR7E25P,9210067,9198354,19
OR7D4,9219589,9210276,19
OR7D1P,9236076,9235144,19
OR7E24,9252625,9247344,19
OR7E18P,9261716,9261015,19
OR7E19P,9268819,9265440,19
OR7H1P,9279369,9278448,19
AC011451.1,9294482,9291515,19
ZNF699,9309838,9294275,19
ZNF559,9351162,9323772,19
ZNF559-ZNF177,9382617,9324174,19
AC011451.2,9348703,9348106,19
ZNF177,9382617,9363020,19
AC011451.3,9407055,9383581,19
ZNF266,9435578,9412461,19
ZNF560,9498607,9466507,19
AC008567.2,9510079,9498678,19
AC008567.1,9519341,9518150,19
ZNF426,9538645,9523224,19
ZNF426-DT,9539734,9538733,19
ZNF121,9584533,9560353,19
ZNF561,9621399,9604680,19
ZNF561-AS1,9645896,9621291,19
ZNF562,9675086,9641808,19
RPS4XP22,9684073,9683294,19
ZNF812P,9700776,9689924,19
AC008759.3,9722410,9721903,19
AC008759.1,9725086,9724008,19
AC008759.2,9731943,9730853,19
ZNF846,9793180,9751993,19
AC008752.3,9756863,9756152,19
UBE2L4,9774960,9774497,19
AC008752.1,9802301,9793621,19
FBXL12,9827816,9810267,19
RF00156,9820094,9819954,19
RPL10P15,9820455,9820141,19
UBL5,9830115,9827892,19
AC008752.2,9835013,9834079,19
PIN1,9849682,9835257,19
OLFM2,9936552,9853718,19
COL5A3,10010471,9959561,19
AC008742.1,9997163,9995997,19
RDH8,10022279,10013249,19
C3P1,10074135,10037803,19
MIR5589,10038413,10038354,19
C19orf66,10093252,10086122,19
AC020931.1,10090377,10089032,19
ANGPTL6,10102796,10092338,19
PPAN-P2RY11,10114780,10106223,19
PPAN,10111634,10106289,19
SNORD105,10107735,10107651,19
SNORD105B,10109835,10109757,19
P2RY11,10115372,10111538,19
EIF3G,10119918,10115017,19
DNMT1,10231286,10133345,19
S1PR2,10231331,10221433,19
MIR4322,10230485,10230413,19
MRPL4,10260045,10251901,19
AC011511.2,10285108,10252268,19
AC011511.3,10260045,10259109,19
ICAM1,10286615,10270835,19
AC011511.5,10289019,10285801,19
ICAM4,10288522,10286967,19
ICAM5,10296778,10289981,19
ZGLP1,10309880,10304803,19
AC011511.1,10316009,10305427,19
FDX2,10316015,10310045,19
AC011511.4,10320678,10315471,19
RAVER1,10333640,10316212,19
AC114271.1,10336248,10333436,19
ICAM3,10339823,10333776,19
TYK2,10380676,10350529,19
CDC37,10420121,10391134,19
MIR1181,10403538,10403458,19
PDE4A,10469631,10416773,19
KEAP1,10503741,10486120,19
AC011461.1,10491000,10490339,19
S1PR5,10517931,10512742,19
ATG4D,10553418,10543895,19
RNU7-140P,10551092,10551033,19
MIR1238,10552204,10552122,19
KRI1,10566037,10553078,19
CDKN2D,10569059,10566462,19
AP1M2,10587315,10572671,19
AC011475.1,10598965,10598001,19
SLC44A2,10644559,10602457,19
ILF3-DT,10653844,10651862,19
ILF3,10692417,10654261,19
QTRT1,10713437,10701430,19
DNM2,10833488,10718079,19
MIR638,10718503,10718404,19
MIR4748,10780335,10780254,19
MIR199A1,10817496,10817426,19
MIR6793,10829035,10828973,19
TMED1,10836318,10832438,19
C19orf38,10869790,10836575,19
AC007229.1,10842250,10841839,19
CARM1,10923070,10871513,19
YIPF2,10928681,10922185,19
TIMM29,10933535,10928733,19
SMARCA4,11079426,10960825,19
AC011442.1,11016011,11010917,19
RN7SL192P,11012006,11011708,19
RF02271,11033912,11033727,19
LDLR,11133816,11089362,19
MIR6886,11113534,11113474,19
SPC24,11155808,11131520,19
KANK2,11197791,11164267,19
DOCK6,11262481,11199295,19
AC011472.1,11216168,11203628,19
AC011472.5,11208702,11208195,19
AC011472.4,11221573,11221083,19
ANGPTL8,11241943,11237450,19
TSPAN16,11326996,11296139,19
AC011472.2,11324441,11300777,19
RAB3D,11346270,11322046,19
AC011472.3,11324195,11322156,19
TMEM205,11346518,11342776,19
CCDC159,11354944,11344684,19
PLPPR2,11365698,11355386,19
AC024575.1,11374935,11368123,19
SWSAP1,11376951,11374685,19
EPOR,11384342,11377205,19
RGL3,11419342,11384341,19
RF00019,11408880,11408772,19
CCDC151,11435782,11420604,19
PRKCSH,11450968,11435288,19
ELAVL3,11481046,11451326,19
AC008481.3,11505698,11466240,19
ZNF653,11505923,11483427,19
MIR7974,11495622,11495544,19
ECSIT,11529174,11505916,19
RN7SL833P,11516330,11516047,19
AC008481.2,11522498,11521968,19
AC008481.1,11523831,11523436,19
CNN1,11550323,11538717,19
ELOF1,11559236,11551147,19
ZNF627,11619135,11559374,19
ACP5,11579008,11574660,19
GAPDHP76,11587135,11585246,19
AC008543.1,11686569,11639776,19
ZNF887P,11652877,11648364,19
HNRNPA1P10,11667030,11666069,19
ZNF833P,11686259,11680944,19
ZNF823,11739009,11721265,19
AC008543.3,11730783,11725961,19
AC008543.2,11759933,11756533,19
ZNF441,11784078,11767000,19
AC008543.5,11798598,11796084,19
ZNF491,11809622,11797667,19
ZNF440,11835201,11814284,19
AC008543.4,11842439,11841241,19
ZNF439,11883750,11848726,19
AC020951.1,11858302,11856032,19
ZNF69,11914329,11887784,19
ZNF700,11950773,11925068,19
AC008770.2,11979290,11925075,19
AC008770.3,11953381,11939959,19
ZNF763,11980381,11965037,19
ZNF433-AS1,12046275,11987617,19
RNA5SP464,11996916,11996809,19
ZNF433,12035741,12014732,19
AC008770.1,12052967,12017888,19
RNA5SP465,12028021,12027913,19
ZNF878,12052939,12043805,19
ZNF844,12081565,12064699,19
RNA5SP466,12070271,12070164,19
RF00019,12088346,12088245,19
ZNF788P,12137235,12092263,19
ZNF20,12140407,12092843,19
RSL24D1P8,12096915,12096424,19
RNA5SP467,12106614,12106497,19
ZNF625-ZNF20,12156731,12132117,19
AC022415.1,12143322,12141806,19
ZNF625,12156729,12142090,19
ZNF136,12189881,12163064,19
AC012618.3,12237767,12195015,19
ZNF44,12294887,12224686,19
AC012618.1,12260537,12260126,19
AC012618.2,12285185,12284337,19
ZNF563,12333720,12317477,19
ZNF442,12365905,12345949,19
RPS29P23,12373731,12373609,19
AC008758.4,12401274,12379189,19
AC008758.3,12383687,12379746,19
ZNF799,12401271,12390016,19
AC008758.5,12441082,12391949,19
ZNF443,12441112,12429707,19
AC008758.6,12484816,12433103,19
AC008758.2,12460705,12450935,19
ZNF709,12513854,12461184,19
AC008758.1,12551474,12461559,19
MTND2P40,12504106,12502675,19
MTCO1P27,12504890,12504665,19
MTCO2P27,12505976,12504905,19
MTATP6P27,12508030,12506249,19
PPIAP20,12508263,12508129,19
ZNF564,12551542,12525370,19
AC010422.6,12580975,12525720,19
AC010422.4,12532973,12529768,19
AC010422.1,12553644,12552597,19
PGK1P2,12561105,12559571,19
ZNF490,12640098,12577961,19
ZNF791,12633840,12610918,19
RPL10P16,12643919,12643275,19
AC010422.3,12648397,12643831,19
MAN2B1,12666742,12646511,19
AC010422.5,12669397,12664828,19
WDR83,12675832,12666800,19
WDR83OS,12669489,12668071,19
AC010422.8,12681834,12668071,19
AC010422.7,12671023,12670079,19
DHPS,12681902,12675717,19
AC010422.2,12687279,12682693,19
GNG14,12688422,12687998,19
FBXW9,12696643,12688053,19
AC018761.4,12689238,12688922,19
TNPO2,12724011,12699194,19
SNORD41,12706518,12706449,19
AC018761.1,12725886,12725517,19
TRIR,12734775,12730640,19
ASNA1,12748323,12737139,19
BEST2,12758458,12751702,19
HOOK2,12872740,12763003,19
AC018761.3,12785101,12784539,19
MIR5684,12787192,12787128,19
JUNB,12793315,12791496,19
PRDX2,12801859,12796820,19
AC018761.2,12801849,12796823,19
THSD8,12813581,12802031,19
RNASEH2A,12815201,12806556,19
RTBDN,12835428,12825478,19
AC020934.1,12832983,12825711,19
MAST1,12874951,12833951,19
MIR6794,12852327,12852260,19
DNASE2,12881468,12875211,19
AC020934.2,12884088,12880969,19
KLF1,12887199,12884422,19
GCDH,12914207,12891026,19
RPS6P25,12894880,12894133,19
SYCE2,12919276,12898786,19
MIR5695,12920404,12920320,19
FARSA,12934037,12922479,19
FARSA-AS1,12933296,12930522,19
CALR,12944489,12938578,19
MIR6515,12940540,12940484,19
AC092069.1,12944487,12944118,19
RAD23A,12953642,12945855,19
GADD45GIP1,12957236,12953119,19
DAND5,12974762,12965159,19
NFIX,13098796,12995608,19
AC138474.1,13014511,13013662,19
AC007787.1,13071374,13069792,19
AC007787.2,13082564,13081966,19
LYL1,13103161,13099033,19
TRMT1,13117567,13104902,19
NACC1,13141141,13118103,19
AC005546.1,13132410,13131571,19
AC011446.1,13141147,13139617,19
STX10,13150383,13144058,19
IER2,13154908,13150415,19
AC011446.2,13154193,13153071,19
RPL12P42,13158788,13157959,19
CACNA1A,13633025,13206442,19
CCDC130,13763296,13731760,19
MRI1,13774282,13764532,19
AC008686.1,13774118,13772118,19
C19orf53,13778462,13774168,19
ZSWIM4,13832230,13795460,19
AC020916.2,13796933,13796574,19
RN7SL619P,13815319,13815062,19
AC020916.1,13842928,13823880,19
MIR24-2,13836359,13836287,19
MIR27A,13836517,13836440,19
MIR23A,13836659,13836587,19
NANOS3,13880757,13862063,19
MIR181C,13874808,13874699,19
MIR181D,13875011,13874875,19
C19orf57,13906452,13882348,19
CC2D1A,13930879,13906201,19
PODNL1,13953392,13931187,19
DCAF15,13961449,13952492,19
RFX1,14007039,13961538,19
AC022098.4,14006773,14006422,19
RLN3,14031042,14028148,19
AC022098.2,14031557,14030855,19
IL27RA,14053216,14031748,19
PALM3,14059159,14053365,19
EEF1DP1,14071237,14070342,19
MISP3,14075062,14072536,19
MIR1199,14073479,14073361,19
C19orf67,14085875,14081619,19
SAMD1,14091036,14087840,19
PRKACA,14118084,14091688,19
AC022098.3,14119537,14119106,19
ASF1B,14136956,14119509,19
AC022098.1,14171267,14137179,19
ADGRL1,14206187,14147743,19
RN7SL231P,14213323,14213052,19
AC011509.2,14293205,14254189,19
AC011509.1,14269377,14267807,19
LINC01841,14370196,14305458,19
LINC01842,14343916,14333743,19
ADGRE5,14408725,14380501,19
AC008569.1,14408723,14402717,19
DDX39A,14419383,14408819,19
PKN1,14471867,14433053,19
AC008569.2,14459366,14458401,19
PTGER1,14475362,14472466,19
GIPC1,14496149,14477760,19
SNRPGP15,14489609,14489388,19
DNAJB1,14529770,14514770,19
TECR,14565980,14517085,19
MIR639,14529640,14529543,19
NDUFB7,14572062,14566078,19
CLEC17A,14611157,14583084,19
RN7SL337P,14584395,14584095,19
RN7SL842P,14588656,14588357,19
ADGRE3,14690027,14619117,19
AC022149.1,14622242,14621634,19
AC022149.2,14628801,14628599,19
ZNF333,14733746,14689801,19
ADGRE2,14778541,14732393,19
OR7C1,14835376,14789260,19
AC005255.1,14792533,14792318,19
OR7A5,14835285,14824251,19
OR7A10,14848922,14840466,19
OR7A8P,14852944,14852032,19
OR7A2P,14867358,14863714,19
OR7A17,14886132,14878203,19
OR7A18P,14887115,14886839,19
OR7A1P,14897845,14891737,19
OR7A3P,14904138,14903232,19
OR7A11P,14917380,14916428,19
OR7A15P,14928060,14927052,19
OR7C2,14942448,14941489,19
SLC1A6,15022990,14950034,19
CCDC105,15023269,15010744,19
CASP14,15058293,15049384,19
OR1I1,15092970,15082211,19
SYDE1,15114988,15107403,19
ILVBL,15125785,15114984,19
AC003956.1,15126174,15124160,19
OR10B1P,15142062,15141105,19
RNU6-782P,15145318,15145215,19
NOTCH3,15200981,15159038,19
MIR6795,15179350,15179283,19
AC004257.1,15222297,15221015,19
EPHX3,15233435,15226919,19
BRD4,15332545,15235519,19
AC005776.1,15339237,15338948,19
AC005776.2,15348417,15346068,19
AKAP8,15379798,15353385,19
AC005785.1,15381194,15379076,19
AKAP8L,15419141,15380048,19
AC005785.2,15383832,15383202,19
AC006128.1,15400356,15398696,19
WIZ,15449951,15419980,19
MIR1470,15449608,15449548,19
RASAL3,15464571,15451624,19
PGLYRP2,15498956,15468645,19
CYP4F22,15552317,15508493,19
AC011492.1,15516836,15515342,19
CYP4F23P,15584709,15564074,19
AD000091.1,15611909,15611623,19
RPL23AP2,15612122,15611657,19
AC093072.1,15614553,15613247,19
CYP4F8,15630638,15615218,19
CYP4F3,15662825,15640897,19
